Edad,Hombres,Mujeres
0,0.01132,0.00783
1,0.0006,0.00033
2,0.00054,0.00032
3,0.00044,0.00028
4,0.00036,0.00024
5,0.00029,0.0002
6,0.00024,0.00018
7,0.00019,0.00015
8,0.00021,0.00015
9,0.00024,0.00016
10,0.00027,0.00017
11,0.0003,0.00018
12,0.00033,0.00019
13,0.0004,0.00021
14,0.00047,0.00022
15,0.00053,0.00024
16,0.00058,0.00025
17,0.00063,0.00026
18,0.00069,0.00029
19,0.00075,0.00032
20,0.0008,0.00034
21,0.00085,0.00036
22,0.00089,0.00039
23,0.0009,0.0004
24,0.00092,0.00042
25,0.00094,0.00043
26,0.00096,0.00045
27,0.00099,0.00047
28,0.00097,0.00049
29,0.00096,0.00051
30,0.00096,0.00053
31,0.00098,0.00057
32,0.00101,0.00059
33,0.00102,0.00061
34,0.00104,0.00062
35,0.00108,0.00065
36,0.00112,0.00068
37,0.00117,0.00073
38,0.0013,0.00079
39,0.00144,0.00086
40,0.00158,0.00095
41,0.00173,0.00106
42,0.00188,0.00119
43,0.002,0.00129
44,0.00215,0.00141
45,0.00234,0.00156
46,0.00259,0.00173
47,0.00275,0.00193
48,0.00292,0.00214
49,0.00301,0.00237
50,0.00038,0.00263
51,0.00132,0.00292
52,0.00196,0.00324
53,0.00203,0.00358
54,0.00487,0.00396
55,0.00552,0.00435
56,0.00626,0.00476
57,0.00709,0.00518
58,0.008,0.00572
59,0.00901,0.00633
60,0.01013,0.00707
61,0.01137,0.008
62,0.01274,0.0092
63,0.01399,0.00916
64,0.0154,0.00947
65,0.01697,0.01012
66,0.01872,0.01114
67,0.02067,0.01256
68,0.0225,0.01393
69,0.02458,0.01564
70,0.02693,0.01763
71,0.02959,0.01984
72,0.03259,0.0222
73,0.03504,0.0262
74,0.03754,0.03012
75,0.03977,0.03376
76,0.04138,0.03697
77,0.04205,0.03955
78,0.0498,0.0458
79,0.05652,0.05115
80,0.06245,0.0555
81,0.06783,0.05878
82,0.06999,0.06086
83,0.07215,0.06434
84,0.07475,0.0681
85,0.07735,0.07367
86,0.08673,0.08262
87,0.0952,0.09105
88,0.10367,0.09949
89,0.11215,0.10251
90,0.12062,0.10862
91,0.12909,0.11318
92,0.13756,0.12382
93,0.14604,0.1318
94,0.16414,0.14032
95,0.22929,0.1927
96,0.26486,0.2184
97,0.36328,0.313
98,0.51387,0.46785
99,0.69769,0.66196
100,1,1
